id,user_id,order_date,order_date_end,order_status,order_summ,User_date_joined,User_date_activate
70,88,09/02/2013 16:41,09/02/2013 16:41,3,5500,17/12/2012 15:13,17/12/2012 15:13
71,33,13/02/2013 10:36,13/02/2013 10:36,3,3599,11/12/2012 10:16,11/12/2012 10:16
72,72,15/02/2013 13:19,15/02/2013 13:19,3,4900,14/12/2012 14:18,14/12/2012 14:18
73,256,20/02/2013 16:19,20/02/2013 16:19,3,3599,18/02/2013 16:26,18/02/2013 16:26
75,282,22/02/2013 07:56,22/02/2013 07:56,3,3599,20/02/2013 09:04,20/02/2013 09:04
76,304,22/02/2013 15:49,22/02/2013 15:49,3,4900,22/02/2013 15:41,22/02/2013 15:41
77,259,24/02/2013 15:01,NULL,10,10000,19/02/2013 15:50,21/02/2013 17:18
78,259,24/02/2013 15:02,24/02/2013 15:02,3,8800,19/02/2013 15:50,21/02/2013 17:18
79,117,25/02/2013 11:36,25/02/2013 11:36,3,3599,21/12/2012 11:19,21/12/2012 11:19
80,36,25/02/2013 13:46,25/02/2013 13:46,3,8800,11/12/2012 11:52,25/02/2013 13:44
81,330,25/02/2013 18:50,25/02/2013 18:50,3,2799,25/02/2013 18:17,25/02/2013 18:17
82,340,26/02/2013 16:06,26/02/2013 16:06,3,4500,26/02/2013 16:05,26/02/2013 16:05
83,196,26/02/2013 18:42,26/02/2013 18:42,3,3599,29/01/2013 19:49,26/02/2013 18:14
84,200,26/02/2013 21:46,26/02/2013 21:46,3,8800,30/01/2013 08:21,26/02/2013 21:41
85,108,28/02/2013 15:33,28/02/2013 15:33,3,7800,21/12/2012 09:08,21/12/2012 09:08
86,174,28/02/2013 16:08,28/02/2013 16:08,3,7800,15/01/2013 09:51,15/01/2013 09:51
88,249,01/03/2013 13:18,01/03/2013 13:18,3,3599,15/02/2013 21:16,01/03/2013 13:13
89,76,03/03/2013 19:01,03/03/2013 19:01,3,11300,15/12/2012 19:00,15/12/2012 19:00
92,108,04/03/2013 20:16,04/03/2013 20:16,3,10700,21/12/2012 09:08,21/12/2012 09:08
93,330,05/03/2013 11:40,05/03/2013 11:40,3,2799,25/02/2013 18:17,25/02/2013 18:17
94,184,05/03/2013 16:15,05/03/2013 16:15,3,11900,28/01/2013 17:45,28/01/2013 17:45
95,372,05/03/2013 19:36,05/03/2013 19:36,3,11300,05/03/2013 14:10,05/03/2013 14:10
96,263,06/03/2013 05:04,06/03/2013 05:04,3,3800,19/02/2013 17:22,19/02/2013 17:22
97,112,06/03/2013 07:18,06/03/2013 07:18,3,2799,21/12/2012 10:55,21/12/2012 10:55
98,97,06/03/2013 07:18,06/03/2013 07:18,3,5990,18/12/2012 13:35,18/12/2012 13:35
99,273,06/03/2013 07:44,06/03/2013 07:44,3,3800,20/02/2013 05:32,20/02/2013 05:32
100,356,06/03/2013 08:14,06/03/2013 08:14,3,6200,04/03/2013 08:52,04/03/2013 08:52
101,119,06/03/2013 08:30,06/03/2013 08:30,3,9000,21/12/2012 11:45,21/12/2012 11:45
104,391,13/03/2013 14:36,13/03/2013 14:36,3,11300,13/03/2013 14:35,13/03/2013 14:35
105,391,14/03/2013 12:11,14/03/2013 12:11,3,4500,13/03/2013 14:35,13/03/2013 14:35
106,33,14/03/2013 14:05,14/03/2013 14:05,3,4500,11/12/2012 10:16,11/12/2012 10:16
107,357,14/03/2013 18:13,NULL,10,116398,04/03/2013 09:05,14/03/2013 18:10
110,397,18/03/2013 12:18,18/03/2013 12:18,3,3599,15/03/2013 05:31,15/03/2013 05:31
112,182,18/03/2013 20:04,18/03/2013 20:04,3,3599,27/01/2013 08:40,26/02/2013 16:45
113,225,19/03/2013 13:03,NULL,7,3599,01/02/2013 17:40,25/02/2013 13:01
115,411,21/03/2013 14:41,21/03/2013 14:41,3,3599,21/03/2013 07:58,21/03/2013 13:36
116,391,22/03/2013 05:31,22/03/2013 05:31,3,11300,13/03/2013 14:35,13/03/2013 14:35
117,445,22/03/2013 14:25,22/03/2013 14:25,3,12999,22/03/2013 14:10,22/03/2013 14:11
118,414,22/03/2013 16:35,22/03/2013 16:35,3,3599,22/03/2013 12:46,22/03/2013 16:24
119,482,22/03/2013 16:58,22/03/2013 16:58,3,11300,22/03/2013 15:31,22/03/2013 16:39
120,426,22/03/2013 17:22,22/03/2013 17:22,3,9699,22/03/2013 13:23,22/03/2013 16:17
121,136,22/03/2013 18:19,22/03/2013 18:19,3,3599,23/12/2012 10:49,26/02/2013 19:04
122,422,23/03/2013 10:12,23/03/2013 10:12,3,3599,22/03/2013 13:06,22/03/2013 20:17
123,299,23/03/2013 10:38,23/03/2013 10:38,3,3599,22/02/2013 11:58,22/02/2013 11:58
124,648,23/03/2013 11:37,23/03/2013 11:37,3,5990,23/03/2013 11:25,23/03/2013 11:28
125,181,23/03/2013 14:42,23/03/2013 14:42,3,5990,24/01/2013 16:37,24/01/2013 16:37
126,26,23/03/2013 14:58,23/03/2013 14:58,3,11399,10/12/2012 15:23,10/12/2012 15:23
127,663,23/03/2013 17:08,23/03/2013 17:08,3,3599,23/03/2013 15:46,23/03/2013 15:46
128,674,23/03/2013 18:21,23/03/2013 18:21,3,2799,23/03/2013 17:11,23/03/2013 17:11
129,108,24/03/2013 14:53,24/03/2013 14:53,3,6900,21/12/2012 09:08,21/12/2012 09:08
130,827,25/03/2013 14:02,25/03/2013 14:02,3,3599,25/03/2013 10:45,25/03/2013 13:42
131,847,25/03/2013 14:46,25/03/2013 14:46,3,11300,25/03/2013 13:50,25/03/2013 14:35
133,742,26/03/2013 15:25,26/03/2013 15:25,3,3800,24/03/2013 16:24,26/03/2013 15:16
134,699,26/03/2013 15:49,26/03/2013 15:49,3,3599,24/03/2013 06:20,26/03/2013 15:45
135,752,26/03/2013 18:44,26/03/2013 18:44,3,3599,24/03/2013 19:35,26/03/2013 18:27
136,753,26/03/2013 20:29,26/03/2013 20:29,3,3599,24/03/2013 19:57,26/03/2013 14:30
137,735,26/03/2013 21:28,26/03/2013 21:28,3,5990,24/03/2013 14:38,26/03/2013 14:31
141,776,27/03/2013 12:55,27/03/2013 12:55,3,3599,25/03/2013 05:59,26/03/2013 14:26
142,693,27/03/2013 13:15,27/03/2013 13:15,3,7800,23/03/2013 21:43,27/03/2013 13:03
143,637,27/03/2013 13:38,27/03/2013 13:38,3,3599,23/03/2013 10:09,27/03/2013 13:36
144,640,27/03/2013 13:51,27/03/2013 13:51,3,9400,23/03/2013 10:45,27/03/2013 12:59
145,833,27/03/2013 13:53,27/03/2013 13:53,3,7800,25/03/2013 11:25,27/03/2013 08:54
146,635,27/03/2013 14:54,27/03/2013 14:54,3,4500,23/03/2013 10:00,27/03/2013 13:06
147,721,27/03/2013 16:14,27/03/2013 16:14,3,3599,24/03/2013 10:45,27/03/2013 12:29
148,61,27/03/2013 16:43,27/03/2013 16:43,3,3599,12/12/2012 18:04,12/12/2012 18:04
149,615,27/03/2013 21:42,27/03/2013 21:42,3,3599,23/03/2013 07:20,27/03/2013 21:39
150,870,28/03/2013 05:53,28/03/2013 05:53,3,5990,26/03/2013 06:38,27/03/2013 11:41
151,938,28/03/2013 15:06,28/03/2013 15:06,3,3599,28/03/2013 15:02,28/03/2013 15:02
152,898,28/03/2013 17:40,28/03/2013 17:40,3,3599,26/03/2013 18:33,27/03/2013 14:41
153,117,29/03/2013 10:22,29/03/2013 10:22,3,9400,21/12/2012 11:19,21/12/2012 11:19
154,672,30/03/2013 14:47,30/03/2013 14:47,3,3599,23/03/2013 16:40,27/03/2013 13:02
155,510,31/03/2013 04:28,31/03/2013 04:28,3,11300,22/03/2013 16:41,31/03/2013 04:18
156,397,01/04/2013 07:55,01/04/2013 07:55,3,7800,15/03/2013 05:31,15/03/2013 05:31
157,632,01/04/2013 08:21,01/04/2013 08:21,3,3599,23/03/2013 09:10,28/03/2013 09:10
158,977,01/04/2013 17:48,01/04/2013 17:48,3,7800,31/03/2013 09:56,01/04/2013 16:58
159,76,01/04/2013 17:59,01/04/2013 17:59,3,11300,15/12/2012 19:00,15/12/2012 19:00
160,74,01/04/2013 19:24,NULL,10,7800,15/12/2012 11:28,15/12/2012 11:28
161,989,02/04/2013 10:28,02/04/2013 10:28,3,5990,31/03/2013 11:45,01/04/2013 15:18
162,1029,02/04/2013 20:35,02/04/2013 20:35,3,11300,01/04/2013 12:26,02/04/2013 20:26
163,1050,03/04/2013 10:59,03/04/2013 10:59,3,3599,03/04/2013 08:32,03/04/2013 10:58
164,432,03/04/2013 14:25,03/04/2013 14:25,3,2800,22/03/2013 13:47,03/04/2013 13:17
165,973,03/04/2013 23:47,03/04/2013 23:47,3,3200,31/03/2013 09:47,03/04/2013 23:45
166,931,04/04/2013 14:52,04/04/2013 14:52,3,3600,28/03/2013 07:18,04/04/2013 14:43
167,714,04/04/2013 17:14,04/04/2013 17:14,3,2990,24/03/2013 09:53,04/04/2013 17:10
168,901,05/04/2013 01:54,NULL,10,3600,26/03/2013 19:09,03/04/2013 21:01
169,898,05/04/2013 06:11,05/04/2013 06:11,3,4500,26/03/2013 18:33,27/03/2013 14:41
170,525,05/04/2013 10:56,05/04/2013 10:56,3,3600,22/03/2013 17:00,05/04/2013 10:52
171,743,05/04/2013 11:12,05/04/2013 11:12,3,3600,24/03/2013 16:53,05/04/2013 11:06
172,523,05/04/2013 11:15,05/04/2013 11:15,3,7800,22/03/2013 16:56,05/04/2013 11:10
173,530,05/04/2013 11:27,05/04/2013 11:27,3,5990,22/03/2013 17:23,05/04/2013 11:22
174,552,05/04/2013 11:37,05/04/2013 11:37,3,3600,22/03/2013 18:53,05/04/2013 11:35
175,925,05/04/2013 12:30,05/04/2013 12:30,3,2990,27/03/2013 16:01,05/04/2013 12:23
176,574,05/04/2013 15:28,05/04/2013 15:28,3,3600,22/03/2013 20:25,05/04/2013 15:25
177,579,06/04/2013 10:45,06/04/2013 10:45,3,11300,22/03/2013 20:36,06/04/2013 10:33
178,545,06/04/2013 12:27,06/04/2013 12:27,3,5990,22/03/2013 18:36,05/04/2013 10:13
179,584,06/04/2013 17:52,06/04/2013 17:52,3,3600,22/03/2013 21:20,04/04/2013 16:57
180,971,08/04/2013 10:32,08/04/2013 10:32,3,5500,30/03/2013 18:55,01/04/2013 15:23
181,581,08/04/2013 11:21,08/04/2013 11:21,3,3600,22/03/2013 21:03,06/04/2013 15:05
182,500,09/04/2013 10:06,09/04/2013 10:06,3,3600,22/03/2013 16:14,28/03/2013 18:59
187,1090,10/04/2013 07:25,10/04/2013 07:25,3,3600,09/04/2013 10:28,10/04/2013 07:15
188,1076,10/04/2013 10:23,10/04/2013 10:23,3,3600,06/04/2013 19:29,10/04/2013 07:13
190,1100,11/04/2013 13:37,11/04/2013 13:37,3,4500,10/04/2013 15:42,10/04/2013 15:42
191,1124,11/04/2013 15:18,11/04/2013 15:18,3,3600,11/04/2013 15:08,11/04/2013 15:08
192,1112,11/04/2013 18:18,11/04/2013 18:18,3,3600,11/04/2013 11:29,11/04/2013 11:29
193,1125,12/04/2013 08:39,12/04/2013 08:39,3,2990,11/04/2013 15:15,11/04/2013 15:15
195,1118,12/04/2013 09:39,12/04/2013 09:39,3,2990,11/04/2013 13:20,11/04/2013 13:22
197,1107,12/04/2013 12:03,12/04/2013 12:03,3,2990,11/04/2013 09:42,11/04/2013 09:42
198,1156,12/04/2013 19:42,12/04/2013 19:42,3,3600,12/04/2013 19:30,12/04/2013 19:30
199,587,13/04/2013 07:39,13/04/2013 07:39,3,2990,22/03/2013 22:55,05/04/2013 03:09
200,679,13/04/2013 14:35,13/04/2013 14:35,3,3600,23/03/2013 18:29,27/03/2013 13:10
201,584,13/04/2013 15:57,13/04/2013 15:57,3,9400,22/03/2013 21:20,04/04/2013 16:57
202,525,14/04/2013 12:41,14/04/2013 12:41,3,7800,22/03/2013 17:00,05/04/2013 10:52
203,1162,14/04/2013 17:11,14/04/2013 17:11,3,2990,14/04/2013 17:07,14/04/2013 17:07
204,565,14/04/2013 19:20,14/04/2013 19:20,3,9400,22/03/2013 20:00,05/04/2013 08:39
205,1142,15/04/2013 07:42,15/04/2013 07:42,3,3600,12/04/2013 04:08,12/04/2013 04:08
206,1165,15/04/2013 11:59,15/04/2013 11:59,3,3600,15/04/2013 08:35,15/04/2013 08:35
207,536,15/04/2013 12:12,15/04/2013 12:12,3,3600,22/03/2013 17:47,12/04/2013 10:54
208,568,15/04/2013 13:09,15/04/2013 13:09,3,5990,22/03/2013 20:03,05/04/2013 09:21
210,807,16/04/2013 12:51,16/04/2013 12:51,3,2990,25/03/2013 08:58,25/03/2013 13:29
211,615,17/04/2013 18:06,17/04/2013 18:06,3,2990,23/03/2013 07:20,27/03/2013 21:39
213,1052,18/04/2013 06:46,18/04/2013 06:46,3,3600,03/04/2013 12:10,05/04/2013 08:31
215,136,19/04/2013 06:37,19/04/2013 06:37,3,2990,23/12/2012 10:49,26/02/2013 19:04
216,435,19/04/2013 07:32,19/04/2013 07:32,3,2990,22/03/2013 13:58,22/03/2013 15:12
217,635,19/04/2013 07:37,19/04/2013 07:37,3,7800,23/03/2013 10:00,27/03/2013 13:06
218,1118,19/04/2013 08:11,19/04/2013 08:11,3,7800,11/04/2013 13:20,11/04/2013 13:22
219,1194,19/04/2013 09:07,19/04/2013 09:07,3,9000,19/04/2013 08:58,19/04/2013 08:58
220,1193,19/04/2013 13:55,19/04/2013 13:55,3,7800,19/04/2013 06:41,19/04/2013 06:46
221,605,20/04/2013 07:13,20/04/2013 07:13,3,2990,23/03/2013 06:19,06/04/2013 05:58
222,76,20/04/2013 17:36,20/04/2013 17:36,3,11300,15/12/2012 19:00,15/12/2012 19:00
223,806,21/04/2013 06:34,21/04/2013 06:34,3,2990,25/03/2013 08:41,26/03/2013 08:54
224,679,22/04/2013 20:44,22/04/2013 20:44,3,4500,23/03/2013 18:29,27/03/2013 13:10
225,372,23/04/2013 08:41,23/04/2013 08:41,3,5990,05/03/2013 14:10,05/03/2013 14:10
226,436,23/04/2013 13:42,23/04/2013 13:42,3,5990,22/03/2013 13:59,22/03/2013 16:26
227,921,23/04/2013 14:06,23/04/2013 14:06,3,3600,27/03/2013 14:06,06/04/2013 10:33
228,213,23/04/2013 15:45,23/04/2013 15:45,3,5990,31/01/2013 22:57,31/01/2013 22:57
229,536,24/04/2013 08:10,24/04/2013 08:10,3,2990,22/03/2013 17:47,12/04/2013 10:54
230,525,24/04/2013 10:36,24/04/2013 10:36,3,3600,22/03/2013 17:00,05/04/2013 10:52
231,443,24/04/2013 21:21,24/04/2013 21:21,3,2990,22/03/2013 14:08,22/03/2013 14:21
232,1008,25/04/2013 07:54,25/04/2013 07:54,3,2990,31/03/2013 19:59,01/04/2013 15:50
233,56,26/04/2013 06:40,26/04/2013 06:40,3,3600,12/12/2012 10:24,27/02/2013 06:13
234,1120,26/04/2013 07:47,26/04/2013 07:47,3,3600,11/04/2013 13:31,11/04/2013 13:31
235,33,26/04/2013 10:16,26/04/2013 10:16,3,3600,11/12/2012 10:16,11/12/2012 10:16
236,1244,26/04/2013 12:38,26/04/2013 12:38,3,7800,26/04/2013 09:48,26/04/2013 12:33
237,1250,27/04/2013 17:39,27/04/2013 17:39,3,14790,27/04/2013 11:01,27/04/2013 17:36
238,1107,29/04/2013 06:54,29/04/2013 06:54,3,3490,11/04/2013 09:42,11/04/2013 09:42
239,1247,29/04/2013 09:40,29/04/2013 09:40,3,3600,26/04/2013 12:26,29/04/2013 09:33
240,568,29/04/2013 12:46,29/04/2013 12:46,3,5500,22/03/2013 20:03,05/04/2013 09:21
241,632,01/05/2013 13:15,14/05/2013 09:42,3,3499,23/03/2013 09:10,28/03/2013 09:10
242,525,03/05/2013 09:12,03/05/2013 09:12,3,8999,22/03/2013 17:00,05/04/2013 10:52
243,536,05/05/2013 12:59,06/05/2013 11:33,3,3499,22/03/2013 17:47,12/04/2013 10:54
244,1291,05/05/2013 13:11,05/05/2013 13:11,3,3499,05/05/2013 12:54,05/05/2013 12:54
245,443,05/05/2013 15:06,07/05/2013 09:23,3,5990,22/03/2013 14:08,22/03/2013 14:21
248,26,07/05/2013 10:36,07/05/2013 14:11,3,6998,10/12/2012 15:23,10/12/2012 15:23
249,605,10/05/2013 07:14,11/05/2013 16:12,3,3499,23/03/2013 06:19,06/04/2013 05:58
250,320,11/05/2013 20:47,12/05/2013 14:10,3,3499,23/02/2013 14:02,23/02/2013 14:02
251,514,13/05/2013 17:30,14/05/2013 13:40,3,3499,22/03/2013 16:45,12/04/2013 12:11
252,495,13/05/2013 19:53,15/05/2013 06:36,3,5999,22/03/2013 15:54,03/04/2013 19:32
253,495,13/05/2013 19:56,15/05/2013 08:26,3,3499,22/03/2013 15:54,03/04/2013 19:32
254,1326,14/05/2013 08:14,15/05/2013 08:26,3,7999,12/05/2013 10:31,14/05/2013 08:08
256,75,14/05/2013 18:18,15/05/2013 18:45,3,15998,15/12/2012 16:55,15/12/2012 16:55
257,1333,15/05/2013 09:12,15/05/2013 18:45,3,3499,14/05/2013 04:00,14/05/2013 04:00
259,1247,15/05/2013 15:02,17/05/2013 14:17,3,4500,26/04/2013 12:26,29/04/2013 09:33
260,1118,15/05/2013 18:52,17/05/2013 09:40,3,7500,11/04/2013 13:20,11/04/2013 13:22
261,535,16/05/2013 07:49,18/05/2013 10:59,3,3499,22/03/2013 17:36,05/04/2013 10:48
262,116,16/05/2013 09:53,17/05/2013 07:21,3,9498,21/12/2012 11:09,21/12/2012 11:09
263,648,16/05/2013 14:36,17/05/2013 14:15,3,3499,23/03/2013 11:25,23/03/2013 11:28
264,574,16/05/2013 18:44,17/05/2013 19:38,3,5999,22/03/2013 20:25,05/04/2013 15:25
266,1347,17/05/2013 11:00,18/05/2013 10:58,3,5999,17/05/2013 08:46,17/05/2013 08:49
267,1265,17/05/2013 11:15,20/05/2013 11:02,3,3499,29/04/2013 15:08,17/05/2013 11:11
268,536,17/05/2013 11:45,20/05/2013 12:11,3,3499,22/03/2013 17:47,12/04/2013 10:54
269,413,17/05/2013 13:21,18/05/2013 10:59,3,5999,22/03/2013 11:06,22/03/2013 11:06
271,495,18/05/2013 21:22,19/05/2013 12:04,3,5999,22/03/2013 15:54,03/04/2013 19:32
272,752,19/05/2013 08:57,20/05/2013 12:12,3,3499,24/03/2013 19:35,26/03/2013 18:27
273,685,19/05/2013 09:44,20/05/2013 12:38,3,3499,23/03/2013 19:39,04/04/2013 08:23
274,1264,20/05/2013 07:18,21/05/2013 14:21,3,3499,29/04/2013 15:07,12/05/2013 18:29
275,1359,20/05/2013 12:23,21/05/2013 14:22,3,14999,17/05/2013 17:48,20/05/2013 12:21
276,297,20/05/2013 18:41,21/05/2013 14:18,3,3499,22/02/2013 10:02,22/02/2013 10:02
277,563,20/05/2013 19:34,22/05/2013 12:40,3,5500,22/03/2013 19:50,05/04/2013 10:37
278,523,21/05/2013 05:18,22/05/2013 14:46,3,9498,22/03/2013 16:56,05/04/2013 11:10
279,1379,21/05/2013 05:41,21/05/2013 11:44,3,3499,20/05/2013 07:52,21/05/2013 05:21
281,1142,21/05/2013 11:29,21/05/2013 14:16,3,3499,12/04/2013 04:08,12/04/2013 04:08
283,390,21/05/2013 12:51,22/05/2013 09:58,3,3499,12/03/2013 18:52,14/03/2013 06:31
284,456,21/05/2013 13:35,22/05/2013 19:18,3,5999,22/03/2013 14:33,22/03/2013 14:33
286,60,21/05/2013 18:55,22/05/2013 09:56,3,3499,12/12/2012 17:25,12/12/2012 17:25
287,239,22/05/2013 08:29,24/05/2013 08:54,3,3499,11/02/2013 12:23,11/02/2013 12:23
288,530,22/05/2013 14:40,25/05/2013 05:38,3,3499,22/03/2013 17:23,05/04/2013 11:22
289,197,22/05/2013 15:16,27/05/2013 08:55,3,3499,29/01/2013 19:55,18/03/2013 14:59
290,109,22/05/2013 15:40,24/05/2013 07:33,3,3499,21/12/2012 09:38,21/12/2012 09:38
291,470,22/05/2013 20:12,24/05/2013 07:33,3,3499,22/03/2013 15:12,30/03/2013 19:58
292,49,23/05/2013 07:01,23/05/2013 13:16,3,3499,12/12/2012 04:23,26/02/2013 16:14
293,215,23/05/2013 07:24,23/05/2013 13:16,3,3499,01/02/2013 07:22,22/02/2013 11:57
294,263,23/05/2013 07:54,24/05/2013 12:55,3,3499,19/02/2013 17:22,19/02/2013 17:22
295,213,23/05/2013 07:56,28/05/2013 15:17,3,3499,31/01/2013 22:57,31/01/2013 22:57
296,931,23/05/2013 14:02,28/05/2013 15:17,3,5500,28/03/2013 07:18,04/04/2013 14:43
297,181,23/05/2013 14:13,25/05/2013 08:39,3,3499,24/01/2013 16:37,24/01/2013 16:37
298,1219,25/05/2013 09:44,25/05/2013 13:35,3,3499,23/04/2013 08:25,25/04/2013 21:10
299,867,27/05/2013 09:48,30/05/2013 11:08,3,3499,26/03/2013 06:18,26/03/2013 14:30
300,1429,27/05/2013 10:16,27/05/2013 18:50,3,14999,25/05/2013 15:17,27/05/2013 06:49
301,1314,27/05/2013 15:32,27/05/2013 18:50,3,5999,08/05/2013 03:48,08/05/2013 03:48
302,579,27/05/2013 16:00,30/05/2013 11:34,3,25499,22/03/2013 20:36,06/04/2013 10:33
303,197,27/05/2013 16:50,28/05/2013 12:41,3,5999,29/01/2013 19:55,18/03/2013 14:59
304,1124,28/05/2013 04:21,29/05/2013 07:47,3,9999,11/04/2013 15:08,11/04/2013 15:08
305,938,28/05/2013 11:10,29/05/2013 07:45,3,3499,28/03/2013 15:02,28/03/2013 15:02
306,504,28/05/2013 14:53,29/05/2013 11:26,3,14999,22/03/2013 16:20,28/03/2013 20:32
307,197,29/05/2013 07:16,NULL,7,5999,29/01/2013 19:55,18/03/2013 14:59
308,1389,29/05/2013 11:54,30/05/2013 20:41,3,3499,20/05/2013 16:13,29/05/2013 11:40
309,495,30/05/2013 08:27,31/05/2013 08:11,3,5999,22/03/2013 15:54,03/04/2013 19:32
310,97,30/05/2013 09:40,30/05/2013 12:49,3,6998,18/12/2012 13:35,18/12/2012 13:35
311,1405,30/05/2013 10:17,03/06/2013 07:05,3,3499,22/05/2013 09:53,30/05/2013 10:07
312,1374,30/05/2013 11:21,31/05/2013 12:51,3,5999,19/05/2013 20:27,19/05/2013 20:27
313,1039,01/06/2013 06:47,03/06/2013 10:25,3,5999,02/04/2013 07:35,02/04/2013 14:14
314,1361,01/06/2013 07:57,03/06/2013 20:33,3,3499,17/05/2013 18:22,20/05/2013 12:22
315,1458,03/06/2013 06:46,03/06/2013 20:33,3,3499,01/06/2013 20:27,02/06/2013 13:16
316,927,03/06/2013 18:05,05/06/2013 06:38,3,5999,27/03/2013 18:11,27/03/2013 18:11
317,929,04/06/2013 06:45,04/06/2013 17:56,3,3499,28/03/2013 06:26,04/04/2013 15:19
319,33,04/06/2013 09:28,04/06/2013 17:56,3,3499,11/12/2012 10:16,11/12/2012 10:16
320,640,04/06/2013 13:44,06/06/2013 07:02,3,3499,23/03/2013 10:45,27/03/2013 12:59
321,1501,05/06/2013 07:58,06/06/2013 07:02,3,3499,05/06/2013 07:54,05/06/2013 07:54
322,125,05/06/2013 08:14,13/06/2013 12:10,3,3499,21/12/2012 14:05,21/12/2012 14:05
323,693,05/06/2013 09:15,05/06/2013 11:39,3,11998,23/03/2013 21:43,27/03/2013 13:03
324,1469,05/06/2013 16:48,08/06/2013 07:48,3,3499,03/06/2013 16:11,05/06/2013 16:40
325,833,06/06/2013 13:45,07/06/2013 07:27,3,5999,25/03/2013 11:25,27/03/2013 08:54
326,1523,06/06/2013 16:53,10/06/2013 08:10,3,5999,05/06/2013 19:56,05/06/2013 19:56
327,1518,06/06/2013 16:58,07/06/2013 09:19,3,5999,05/06/2013 13:59,05/06/2013 13:59
328,1428,06/06/2013 19:52,07/06/2013 11:08,3,3499,25/05/2013 13:11,30/05/2013 18:38
329,615,07/06/2013 07:25,10/06/2013 11:35,3,5999,23/03/2013 07:20,27/03/2013 21:39
330,1476,07/06/2013 07:37,10/06/2013 14:06,3,5999,04/06/2013 07:28,05/06/2013 13:08
331,97,08/06/2013 10:05,08/06/2013 16:46,3,3499,18/12/2012 13:35,18/12/2012 13:35
332,495,08/06/2013 11:41,08/06/2013 16:46,3,5999,22/03/2013 15:54,03/04/2013 19:32
333,1240,08/06/2013 11:50,08/06/2013 16:47,3,5999,26/04/2013 07:41,26/04/2013 07:41
334,806,08/06/2013 13:14,10/06/2013 09:11,3,3499,25/03/2013 08:41,26/03/2013 08:54
335,1291,08/06/2013 15:48,10/06/2013 14:06,3,5999,05/05/2013 12:54,05/05/2013 12:54
336,522,09/06/2013 08:31,11/06/2013 16:00,3,3499,22/03/2013 16:56,06/04/2013 18:02
337,76,09/06/2013 18:27,10/06/2013 10:35,3,5999,15/12/2012 19:00,15/12/2012 19:00
338,372,10/06/2013 06:52,10/06/2013 10:35,3,3499,05/03/2013 14:10,05/03/2013 14:10
340,665,10/06/2013 09:18,11/06/2013 07:21,3,5999,23/03/2013 16:05,27/03/2013 13:00
341,80,10/06/2013 16:20,12/06/2013 10:27,3,3499,16/12/2012 20:51,16/12/2012 20:51
342,1328,11/06/2013 07:55,11/06/2013 15:58,3,9999,12/05/2013 14:45,14/05/2013 14:21
343,536,11/06/2013 08:30,14/06/2013 14:18,3,3499,22/03/2013 17:47,12/04/2013 10:54
